track_name;track_duration;track_number;feature_duration;feature_loudness;feature_tempo;album_name;release_date;total_tracks
Dancing In The Rain (Remastered);298967;1;298.9678;298.9678;135.18;Mad Love Luxe (Remastered);2020-04-22;18
Lie Without A Lover (Remastered);311218;1;311.2188;311.2188;130.096;Mad Love Luxe (Remastered);2020-04-22;18
Crash Push (Remastered);210064;1;210.06416;210.06416;168.661;Mad Love Luxe (Remastered);2020-04-22;18
My Eyes Adore You (Remastered);238695;1;238.69583;238.69583;91.471;Mad Love Luxe (Remastered);2020-04-22;18
Cómo Me Acuerdo (Remastered);250653;1;250.65334;250.65334;89.054;Mad Love Luxe (Remastered);2020-04-22;18
Heaven Can Wait (Remastered);178047;1;178.04712;178.04712;125.193;Mad Love Luxe (Remastered);2020-04-22;18
This Time (Remastered);207726;1;207.72617;207.72617;108.103;Mad Love Luxe (Remastered);2020-04-22;18
California (Remastered);279501;1;279.50122;279.50122;142.985;Mad Love Luxe (Remastered);2020-04-22;18
Try Me (Remastered);198777;1;198.77728;198.77728;120.183;Mad Love Luxe (Remastered);2020-04-22;18
Solitary Man (Remastered);235781;1;235.78154;235.78154;216.758;Mad Love Luxe (Remastered);2020-04-22;18
Never Know The Truth (Remastered);182433;1;182.43324;182.43324;157.836;Mad Love Luxe (Remastered);2020-04-22;18
Do You Remember (Remastered);267711;1;267.7113;267.7113;88.627;Mad Love Luxe (Remastered);2020-04-22;18
Mad Love (Remastered);433248;1;433.24866;433.24866;135.094;Mad Love Luxe (Remastered);2020-04-22;18
Commitment #4 (Remastered);406906;1;406.90668;406.90668;108.269;Mad Love Luxe (Remastered);2020-04-22;18
Más y Más (Crash Push)(Remastered);211866;1;211.86667;211.86667;168.753;Mad Love Luxe (Remastered);2020-04-22;18
Noche Fría (Remastered);214379;1;214.379;214.379;135.03;Mad Love Luxe (Remastered);2020-04-22;18
This Time - Live PHVX Vault;224120;1;224.12096;224.12096;89.928;Mad Love Luxe (Remastered);2020-04-22;18
Lie Without a Lover - Rehearsal PHVX Vault;243522;1;243.52267;243.52267;108.479;Mad Love Luxe (Remastered);2020-04-22;18
Hotel de los Encuentros (Intro);55582;1;55.58231;55.58231;150.803;Monte Sagrado;2018-10-26;11
333;286097;1;286.0977;286.0977;111.061;Monte Sagrado;2018-10-26;11
Que Se Joda el Dolor;290680;1;290.68;290.68;124.99;Monte Sagrado;2018-10-26;11
Dentro de Ti;279813;1;279.81332;279.81332;129.006;Monte Sagrado;2018-10-26;11
Xeuníge;31773;1;31.77333;31.77333;159.52;Monte Sagrado;2018-10-26;11
Monte Sagrado;247756;1;247.75673;247.75673;116.975;Monte Sagrado;2018-10-26;11
Yo Mismo;140309;1;140.30994;140.30994;117.056;Monte Sagrado;2018-10-26;11
2nite 2nite;223173;1;223.17332;223.17332;129.942;Monte Sagrado;2018-10-26;11
Tu Lado Oscuro;160920;1;160.92068;160.92068;154.163;Monte Sagrado;2018-10-26;11
The Thing I Done;190159;1;190.15927;190.15927;128.038;Monte Sagrado;2018-10-26;11
En las Horas Más Tristes;485893;1;485.89334;485.89334;130.015;Monte Sagrado;2018-10-26;11
Hablando del Amor - Remastered Version;72626;1;72.62667;72.62667;84.393;Vagabundo 22;2018-08-10;16
Madre Tierra - Remastered Version;214960;1;214.96;214.96;165.944;Vagabundo 22;2018-08-10;16
Llanto Subterráneo - Remastered Version;232266;1;232.26666;232.26666;136.116;Vagabundo 22;2018-08-10;16
Vagabundo - Remastered Version;217200;1;217.2;217.2;96.117;Vagabundo 22;2018-08-10;16
Penélope - Remastered Version;283360;1;283.36;283.36;92.541;Vagabundo 22;2018-08-10;16
Delirios - Remastered Version;180346;1;180.34666;180.34666;167.758;Vagabundo 22;2018-08-10;16
Para No Olvidar - Remastered Version;255880;1;255.88;255.88;128.41;Vagabundo 22;2018-08-10;16
Blanca Mujer - Remastered Version;231373;1;231.37334;231.37334;81.774;Vagabundo 22;2018-08-10;16
Vértigo - Remastered Version;163800;1;163.8;163.8;126.096;Vagabundo 22;2018-08-10;16
Vivir - Remastered Version;261093;1;261.09332;261.09332;102.661;Vagabundo 22;2018-08-10;16
Brujería - Remastered Version;208733;1;208.73334;208.73334;142.225;Vagabundo 22;2018-08-10;16
La Flor del Frío - Remastered Version;235106;1;235.10667;235.10667;146.053;Vagabundo 22;2018-08-10;16
Amantes Hasta el Fin - Remastered Version;302773;1;302.77332;302.77332;131.958;Vagabundo 22;2018-08-10;16
Mientras Camino - Remastered Version;37680;1;37.68;37.68;73.036;Vagabundo 22;2018-08-10;16
Vértigo 22 - PHVX Archive;257493;1;257.49332;257.49332;123.878;Vagabundo 22;2018-08-10;16
Madre Tierra 22 - PHVX Archive;284493;1;284.49332;284.49332;142.595;Vagabundo 22;2018-08-10;16
Esto Es Vida (feat. Juan Luis Guerra);272320;1;272.32;272.32;203.99;Vida;2013-03-18;16
Penélope (feat. Maná);233626;1;233.62666;233.62666;92.492;Vida;2013-03-18;16
Cómo Me Acuerdo (feat. Alejandro Sanz);183986;1;183.98666;183.98666;88.902;Vida;2013-03-18;16
El Tiempo Va (feat. Rubén Blades);225840;1;225.84;225.84;105.005;Vida;2013-03-18;16
